"","strain","isotype","substrate","latitude","longitude","elevation","landscape","isolation_date","source_lab","isolated_by","sampled_by"
"95","ED3072","ED3073","Compost","-1.083333","36.65","2352.160400390625","Agricultural land","2006-05-17","VX","E. Dolgin","E. Dolgin"
"96","ED3073","ED3073","Compost","-1.083333","36.65","2352.160400390625","Agricultural land","2006-05-17","VX","E. Dolgin","E. Dolgin"
"97","ED3075","ED3073","Compost","-1.083333","36.65","2352.160400390625","Agricultural land","2006-05-17","VX","E. Dolgin","E. Dolgin"
"98","ED3077","ED3077","Leaf litter","-1.316667","36.8","1687.222412109375","Botanical garden zoo","2006-05-17","VX","E. Dolgin","E. Dolgin"
"99","EG4346","EG4347","Rotting fruit","44.04789","-123.07108","129.6570434570312","Urban garden","2006-10-09","EG","M. Ailion","M. Ailion"
"100","EG4347","EG4347","Rotting fruit","44.04789","-123.07108","129.6570434570312","Urban garden","2006-10-09","EG","M. Ailion","M. Ailion"
"101","EG4348","EG4349","Rotting fruit","40.77167","-111.87316","1352.564208984375","Agricultural land","2006-10-02","EG","M. Ailion","M. Ailion"
"102","EG4349","EG4349","Rotting fruit","40.771467","-111.87316","1352.207763671875","Agricultural land","2006-10-02","EG","M. Ailion","M. Ailion"
"103","EG4724","EG4724","Rotting fruit","41.6288","-8.3476","101.0785140991211","Agricultural land","2007-03-28","EG","M. Ailion","M. Ailion"
"104","EG4725","EG4725","Rotting fruit","41.6288","-8.3476","101.0785140991211","Agricultural land","2007-03-28","EG","M. Ailion","M. Ailion"
"105","EG4680","EG4946","Rotting fruit","40.7073","-111.8675","1312.620849609375","Agricultural land","2007-10-04","EG","M. Ailion","W. Davis"
"106","EG4689","EG4946","Rotting fruit","40.7073","-111.8675","1312.620849609375","Agricultural land","2007-10-04","EG","M. Ailion","W. Davis"
"107","EG4945","EG4946","Rotting nut","40.72596","-111.82184","1416.055053710938","Agricultural land","2007-09-27","EG","M. Ailion","G. Hollopeter"
"108","EG4946","EG4946","Rotting nut","40.72596","-111.82184","1416.055053710938","Agricultural land","2007-09-27","EG","M. Ailion","G. Hollopeter"
"109","EG4948","EG4946","Rotting nut","40.72596","-111.82184","1416.055053710938","Agricultural land","2007-09-27","EG","M. Ailion","G. Hollopeter"
"110","EG4951","EG4946","Rotting nut","40.72596","-111.82184","1416.055053710938","Agricultural land","2007-10-09","EG","M. Ailion","G. Hollopeter"
"111","EG4957","EG4946","Rotting nut","40.72596","-111.82184","1416.055053710938","Agricultural land","2007-10-09","EG","M. Ailion","G. Hollopeter"
"112","GXW1","GXW1","Rotting fruit","30.542889","114.419828","23.75563430786133","Urban garden","2010-11-05","VX","G. Wang","G. Wang"
"113","JT11362","JT11398","Compost","47.763944","-122.275484","124.2334442138672","Urban garden","2003-05-01","JT","J. Kemner","J. Kemner"
"114","JT11398","JT11398","Compost","47.763944","-122.275484","124.2334442138672","Urban garden","2003-12-01","JT","J. Kemner","J. Kemner"
"115","JT11399","JT11398","Compost","47.763944","-122.275484","124.2334442138672","Urban garden","2003-12-01","JT","J. Kemner","J. Kemner"
"116","JU1088","JU1088","Soil","34.7613","138.0149","34.94482421875","Botanical garden zoo","2007-03-14","JU","M.-A. Félix","M.-A. Félix"
"117","JU1172","JU1172","Compost","-36.87","-73.04","73.15945434570312","Urban garden","2007-04-01","JU","M.-A. Félix","M.-A. Félix"
"118","JU1200","JU1200","Compost","55.577","-4.6","32.22074127197266","Rural garden","2007-08-01","JU","T. Page","T. Page"
"119","JU2860","JU1200","Rotting fungus","52.19842","0.115365","11.07534313201904","Rural garden","2015-06-06","JU","M.-A. Félix","M.-A. Félix"
"120","JU1207","JU1212","Rotting flower","48.71","-3.81","28.23330307006836","Rural garden","2007-09-24","JU","M.-A. Félix","M.-A. Félix"
"121","JU1212","JU1212","Rotting flower","48.71","-3.81","28.23330307006836","Rural garden","2007-09-24","JU","M.-A. Félix","M.-A. Félix"
"122","JU1214","JU1212","Snail","48.71","-3.81","28.23330307006836","Rural garden","2007-09-24","JU","M.-A. Félix","M.-A. Félix"
"123","JU1213","JU1213","Rotting fruit","48.71","-3.81","28.23330307006836","Rural garden","2007-09-24","JU","M.-A. Félix","M.-A. Félix"
"124","JU1482","JU1213","Leaf litter","48.705","-3.7952","33.74652481079102","Wet shrubland","2008-08-02","JU","M.-A. Félix","M.-A. Félix"
"125","JU531","JU1213","Compost","48.71","-3.81","28.23330307006836","Rural garden","2004-10-03","JU","M.-A. Félix","M.-A. Félix"
"126","JU533","JU1213","Compost","48.71","-3.81","28.23330307006836","Rural garden","2004-10-03","JU","M.-A. Félix","M.-A. Félix"
"127","JU1656","JU1213","Leaf litter","48.725018","-3.972104","1.318284273147583","Wet shrubland","2009-07-14","JU","M.-A. Félix","M.-A. Félix"
"128","JU1762","JU1213","Rotting stem","48.695548","-3.790033","72.91952514648438","Wet shrubland","2009-08-16","JU","M.-A. Félix","M.-A. Félix"
"129","JU1770","JU1213","Rotting stem","48.695548","-3.790033","72.91952514648438","Wet shrubland","2009-08-16","JU","M.-A. Félix","M.-A. Félix"
"130","JU1218","JU1242","Rotting fruit","49.1269","1.9595","88.03592681884766","Rural garden","2007-10-14","JU","M.-A. Félix","M.-A. Félix"
"131","JU1230","JU1242","Rotting fruit","49.1269","1.9595","88.03592681884766","Rural garden","2007-10-14","JU","M.-A. Félix","M.-A. Félix"
"132","JU1242","JU1242","Slug","49.1269","1.9595","88.03592681884766","Rural garden","2007-10-14","JU","M.-A. Félix","M.-A. Félix"
"133","JU1243","JU1242","Slug","49.1269","1.9595","88.03592681884766","Rural garden","2007-10-14","JU","M.-A. Félix","M.-A. Félix"
"134","JU1246","JU1246","Rotting fruit","49.12618","1.96152","89.81521606445312","Agricultural land","2007-10-14","JU","M.-A. Félix","M.-A. Félix"
"135","JU1249","JU1249","Rotting fruit","49.126","1.951","63.30971908569336","Rural garden","2007-10-14","JU","M.-A. Félix","M.-A. Félix"
"136","JU1395","JU1395","Compost","47.2199","0.04619","37.29682540893555","Agricultural land","2008-03-01","JU","M.-A. Félix","M.-A. Félix"
"137","ECA589","JU1395","Compost","47.2199","0.04619","37.29682540893555","Agricultural land","2008-03-01","JU","M.-A. Félix","M.-A. Félix"
"138","JU1400","JU1400","Rotting fruit","37.3845","-5.988","7.727828502655029","Rural garden","2008-03-29","JU","M.-A. Félix","M.-A. Félix"
"139","JU1401","JU1409","Snail","37.4721","-5.6331","243.6740570068359","Rural garden","2008-03-31","JU","M.-A. Félix","M.-A. Félix"
"140","JU1409","JU1409","Rotting fruit","37.468","-5.637","202.8486785888672","Rural garden","2008-03-31","JU","M.-A. Félix","M.-A. Félix"
"141","JU1410","JU1409","Snail","37.468","-5.637","202.8486785888672","Rural garden","2008-03-31","JU","M.-A. Félix","M.-A. Félix"
"142","JU1411","JU1409","Snail","37.468","-5.637","202.8486785888672","Rural garden","2008-03-31","JU","M.-A. Félix","M.-A. Félix"
"143","JU1440","JU1440","Rotting fruit","41.41307","2.15231","136.8448638916016","Urban garden","2008-06-09","JU","M.-A. Félix","M.-A. Félix"
"144","JU3133","JU1440","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2011-11-08","JU","M.-A. Félix","M.-A. Félix"
"145","JU1484","JU1491","Rotting stem","46.63","1.06","95.57955932617188","Forest","2008-08-17","JU","M.-A. Félix","M.-A. Félix"
"146","JU1491","JU1491","Rotting stem","46.63","1.06","95.57955932617188","Forest","2008-08-17","JU","M.-A. Félix","M.-A. Félix"
"147","JU1530","JU1530","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-09","JU","M.-A. Félix","M.-A. Félix"
"148","ECA616","JU1530","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-09","JU","M.-A. Félix","M.-A. Félix"
"149","JU1543","JU1543","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-08","JU","M.-A. Félix","M.-A. Félix"
"150","JU1566","JU1568","Rotting stem","48.8092","2.3862","41.65234756469727","Urban garden","2008-10-05","JU","M.-A. Félix","M.-A. Félix"
"151","JU1568","JU1568","Rotting stem","48.8092","2.3862","41.65234756469727","Urban garden","2008-10-05","JU","M.-A. Félix","M.-A. Félix"
"152","JU1580","JU1580","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-10-06","JU","M.-A. Félix","M.-A. Félix"
"153","JU1511","JU1581","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-09","JU","M.-A. Félix","M.-A. Félix"
"154","JU1516","JU1581","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-09","JU","M.-A. Félix","M.-A. Félix"
"155","JU1522","JU1581","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-09","JU","M.-A. Félix","M.-A. Félix"
"156","JU1581","JU1581","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-10-23","JU","M.-A. Félix","M.-A. Félix"
"157","JU1582","JU1581","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-10-23","JU","M.-A. Félix","M.-A. Félix"
"158","JU1807","JU1581","Rotting fruit","48.662134","2.2131","152.2987518310547","Rural garden","2008-10-23","JU","M.-A. Félix","M.-A. Félix"
"159","ECA615","JU1581","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-09-08","JU","M.-A. Félix","M.-A. Félix"
"160","JU1586","JU1586","Rotting fruit","46.63","1.06","95.57955932617188","Rural garden","2008-11-03","JU","M.-A. Félix","M.-A. Félix"
"161","JU1652","JU1652","Compost","-34.86","-56.19","33.48351287841797","Urban garden","2009-01-01","JU","None","R. Giordano"
"162","JU1666","JU1666","Slug","48.725018","-3.972104","1.318284273147583","Wet shrubland","2009-07-14","JU","M.-A. Félix","M.-A. Félix"
"163","JU3139","JU1666","Rotting stem","48.71","-3.81","28.23330307006836","Rural garden","2009-08-09","JU","M.-A. Félix","M.-A. Félix"
"164","JU1792","JU1792","Rotting stem","46.63278","1.064289","81.81644439697266","Forest","2009-09-27","JU","M.-A. Félix","M.-A. Félix"
"165","JU1793","JU1793","Rotting stem","49.12604","1.95114","64.65354919433594","Forest","2009-10-10","JU","M.-A. Félix","M.-A. Félix"
